4 5 13 21 28 39 56 
3 6 11 23 32 38 55 
4 5 15 23 25 36 54 
3 5 16 23 25 37 56 
4 6 13 19 26 39 53 
1 5 15 18 32 34 41 
4 6 12 19 30 36 55 
3 5 13 23 32 35 54 
1 5 12 23 31 35 57 
2 6 10 17 30 38 56 
4 7 9 22 25 40 52 
4 6 11 17 31 38 55 
4 7 14 21 32 37 51 
2 5 9 20 29 35 53 
3 6 9 20 25 37 41 
3 5 9 21 27 37 56 
4 7 11 19 25 40 50 
3 5 12 19 25 37 54 
2 5 12 17 31 34 55 
2 5 11 20 27 40 56 
3 5 14 24 30 38 57 
4 7 10 17 31 39 53 
4 5 13 18 31 40 54 
4 7 13 22 26 40 52 
2 5 10 20 25 37 41 
3 6 12 18 31 38 55 
3 5 10 17 32 40 56 
4 7 11 18 25 38 51 
1 5 10 24 31 34 55 
4 6 13 20 26 38 54 
4 7 13 23 26 36 53 
3 5 15 23 30 36 57 
2 5 13 19 29 34 41 
2 5 9 17 29 40 56 
3 5 15 20 31 33 50 
4 6 15 22 26 37 55 
4 6 14 23 30 33 49 
3 6 11 17 31 34 52 
3 5 12 17 26 35 54 
2 5 16 24 28 39 56 
3 6 15 22 25 35 53 
3 6 10 18 29 39 55 
4 7 16 19 31 34 41 
2 5 11 18 28 33 48 
4 7 10 24 30 35 51 
3 5 13 23 27 36 56 
2 5 16 24 28 35 57 
4 6 13 17 31 35 54 
2 5 12 20 29 39 55 
2 5 10 23 29 40 53 
4 8 16 23 32 36 52 
3 5 13 24 26 38 56 
3 5 16 17 31 34 41 
4 7 12 20 25 39 50 
2 5 12 17 27 35 54 
4 6 10 18 26 38 55 
4 6 11 23 26 33 47 
3 5 15 17 29 35 56 
2 6 11 19 30 38 57 
3 7 16 18 32 38 54 
3 5 15 21 32 35 51 
2 5 11 17 26 35 53 
3 6 16 19 29 38 55 
3 5 11 19 28 35 41 
2 5 11 24 25 36 52 
2 5 13 24 28 35 56 
3 5 13 19 26 37 56 
3 7 16 22 31 34 54 
2 5 15 18 25 38 53 
2 5 14 22 30 34 58 
3 5 11 24 29 38 57 
2 6 14 22 29 33 55 
4 7 10 23 25 38 41 
4 8 13 24 31 33 50 
4 5 16 19 29 38 56 
4 5 12 18 25 37 54 
1 5 10 19 29 34 51 
4 5 13 17 32 33 49 
4 6 16 24 30 39 55 
1 5 11 22 32 33 52 
1 5 15 22 32 40 53 
2 5 9 20 30 36 56 
4 8 14 17 31 34 41 
3 6 15 17 29 36 55 
2 5 10 19 30 35 57 
2 5 13 20 32 40 54 
2 5 13 20 27 36 56 
4 6 10 19 27 40 55 
4 5 11 23 29 40 53 
2 5 12 18 25 37 54 
4 5 13 22 32 33 48 
4 7 16 18 31 34 41 
3 6 13 22 32 34 51 
4 6 11 18 32 34 50 
2 6 10 22 29 33 52 
3 6 16 19 27 36 56 
4 5 16 19 27 40 55 
2 5 15 22 28 36 57 
4 6 10 23 29 37 56 
3 5 12 17 26 40 53 
4 7 10 24 28 38 54 
2 5 15 19 32 36 41 
4 6 15 24 28 37 55 
1 5 13 24 32 39 56 
4 7 15 17 29 39 54 
2 6 11 20 30 35 52 
4 6 14 19 25 37 53 
3 5 9 23 32 34 51 
2 5 14 20 28 37 57 
2 6 16 18 32 38 55 
3 6 11 20 32 34 50 
3 7 13 20 25 33 44 
4 6 14 23 26 37 56 
1 5 16 19 31 35 41 
3 5 9 18 32 40 54 
4 7 12 20 26 34 47 
3 7 10 23 29 36 55 
2 5 12 18 30 39 56 
4 7 15 17 25 35 49 
3 6 14 17 31 40 53 
3 6 10 24 31 40 55 
4 6 14 17 32 36 52 
2 6 13 21 30 38 41 
2 6 14 20 30 38 57 
3 6 9 17 29 40 54 
4 8 11 20 30 34 51 
3 5 13 21 26 37 56 
2 5 10 21 32 38 55 
4 7 12 20 29 37 53 
4 7 14 20 29 38 54 
2 5 9 17 30 36 56 
4 8 9 22 27 33 50 
3 7 14 18 30 33 41 
3 7 14 24 29 36 55 
2 6 14 20 30 33 52 
4 5 11 17 29 36 57 
4 5 16 24 28 36 56 
4 5 15 19 32 33 48 
4 6 12 17 25 37 53 
4 6 13 24 26 33 46 
4 7 12 18 30 37 54 
1 5 15 22 31 36 58 
2 6 11 18 32 36 55 
3 7 13 22 31 33 51 
2 5 11 23 26 38 41 
4 5 16 21 31 39 56 
4 7 10 18 28 39 54 
3 5 10 20 28 39 56 
4 5 14 18 29 37 57 
4 8 10 17 31 34 52 
4 6 14 17 25 38 53 
3 5 13 20 26 36 55 
4 8 16 17 27 34 50 
1 5 16 20 31 36 41 
3 5 14 21 27 40 56 
4 6 14 23 25 37 54 
4 5 9 21 30 38 55 
4 7 12 20 29 40 53 
2 5 11 20 25 39 51 
4 5 10 17 25 40 49 
2 5 10 20 32 39 56 
1 5 16 17 31 35 57 
1 5 9 20 29 34 54 
4 8 12 24 30 35 52 
3 7 15 19 31 34 41 
4 5 16 21 25 38 55 
1 5 13 23 31 35 56 
3 6 15 17 26 40 53 
4 7 10 24 31 36 54 
4 6 9 19 30 39 55 
3 7 15 19 29 34 50 
1 5 15 17 30 34 41 
3 6 11 23 29 39 56 
1 5 16 21 30 38 57 
4 7 13 23 26 33 47 
4 7 12 21 26 38 51 
4 5 12 20 28 39 55 
3 7 12 24 30 34 52 
2 6 14 21 31 39 54 
3 6 14 18 32 36 53 
2 6 13 22 30 35 56 
3 7 12 17 29 36 55 
4 5 11 22 27 37 41 
